iter	RMSE
0	14.5265603
1	14.12902251
2	13.73634437
3	13.34333548
4	12.99651185
5	12.6329292
6	12.2709085
7	11.91970228
8	11.58951273
9	11.3103997
10	11.03175218
11	10.74500472
12	10.47299019
13	10.20193545
14	9.963735778
15	9.698499554
16	9.500916597
17	9.312376212
18	9.086397345
19	8.882819071
20	8.665314153
21	8.476128425
22	8.280272978
23	8.074295116
24	7.909526979
25	7.727601218
26	7.571014337
27	7.413232946
28	7.279344441
29	7.126407676
30	6.988414854
31	6.865379923
32	6.727629614
33	6.603133667
34	6.494782644
35	6.388936444
36	6.279780527
37	6.174696503
38	6.062701133
39	5.968013405
40	5.880562306
41	5.79626401
42	5.70180018
43	5.613942763
44	5.527200919
45	5.450922805
46	5.375400248
47	5.299800694
48	5.231583201
49	5.173025767
50	5.112442413
51	5.055645485
52	4.993137562
53	4.94172887
54	4.889151249
55	4.832897764
56	4.783752076
57	4.748456423
58	4.707061323
59	4.671018472
60	4.630127122
61	4.585088834
62	4.550528646
63	4.517132101
64	4.478040262
65	4.441045434
66	4.407317502
67	4.369322065
68	4.336158942
69	4.304878368
70	4.271531031
71	4.245604614
72	4.221989679
73	4.196349258
74	4.171433498
75	4.148907751
76	4.124915757
77	4.10638504
78	4.077998447
79	4.061349404
80	4.038113023
81	4.014616117
82	3.992096242
83	3.9690735
84	3.943477121
85	3.922692936
86	3.900744251
87	3.879553421
88	3.860885498
89	3.842505109
90	3.834849818
91	3.822221153
92	3.8042505
93	3.787721162
94	3.76974421
95	3.752240252
96	3.736705758
97	3.720577164
98	3.709749828
99	3.695258317
100	3.684287857
101	3.671111917
102	3.657649798
103	3.64433161
104	3.63332687
105	3.62124559
106	3.607235259
107	3.598843716
108	3.582891476
109	3.574357177
110	3.563876494
111	3.552197757
112	3.541374574
113	3.530937196
114	3.524061886
115	3.514001381
116	3.50440132
117	3.487767846
118	3.484474282
119	3.475563146
120	3.470497189
121	3.464418476
122	3.45510982
123	3.447081514
124	3.434937534
125	3.429313193
126	3.425852015
127	3.417011669
128	3.40754446
129	3.399663976
130	3.393278108
131	3.381942547
132	3.372111707
133	3.364999475
134	3.354107588
135	3.345702539
136	3.344332517
137	3.338330471
138	3.334642149
139	3.329468988
140	3.321718726
141	3.311433067
142	3.302159093
143	3.294033268
144	3.292668456
145	3.281693703
146	3.274221544
147	3.2663397
148	3.260855171
149	3.250813387
150	3.245807032
151	3.239116063
152	3.23240525
153	3.227960829
154	3.220582579
155	3.215490237
156	3.207191027
157	3.198602961
158	3.19631845
159	3.1925906
160	3.184711871
161	3.176312497
162	3.166630907
163	3.164842791
164	3.156207352
165	3.150132174
166	3.141813358
167	3.131136757
168	3.12320677
169	3.11758394
170	3.108657926
171	3.100040131
172	3.089607428
173	3.082014679
174	3.075417462
175	3.072951845
176	3.066665295
177	3.05561085
178	3.052259886
179	3.043345933
180	3.036906378
181	3.02763893
182	3.021531839
183	3.01809466
184	3.009508284
185	3.004193362
186	2.999050484
187	2.992865656
188	2.988183768
189	2.982711584
190	2.97848641
191	2.968236224
192	2.962959917
193	2.955860835
194	2.949738942
195	2.941901279
196	2.938205046
197	2.932294264
198	2.928700354
199	2.919702362
200	2.914821005
201	2.911070224
202	2.906150484
203	2.902111398
204	2.893226479
205	2.886322425
206	2.88350598
207	2.880210574
208	2.876338782
209	2.872063174
210	2.86336938
211	2.859928652
212	2.8533767
213	2.844624419
214	2.838515698
215	2.834861282
216	2.822730959
217	2.814668417
218	2.808125101
219	2.803630411
220	2.802535513
221	2.798137649
222	2.787896938
223	2.780871792
224	2.773550163
225	2.76980181
226	2.76348468
227	2.759379238
228	2.757859342
229	2.748430327
230	2.742941648
231	2.735018061
232	2.727737501
233	2.72508979
234	2.720500014
235	2.711621326
236	2.702729862
237	2.698653334
238	2.694267478
239	2.689203014
240	2.686245007
241	2.682552186
242	2.675622329
243	2.667504583
244	2.658093784
245	2.649091185
246	2.647507382
247	2.643347148
248	2.641836369
249	2.637737414
250	2.634065932
251	2.632995823
252	2.623936005
253	2.617729676
254	2.614979147
255	2.613245647
256	2.611018799
257	2.604941562
258	2.601343216
259	2.598405458
260	2.587409567
261	2.585135474
262	2.580362333
263	2.577136116
264	2.566345707
265	2.557037981
266	2.55551606
267	2.551380602
268	2.544045121
269	2.539516651
270	2.53301845
271	2.52700817
272	2.524119429
273	2.51656931
274	2.514632471
275	2.512227267
276	2.507101224
277	2.506234075
278	2.501179548
279	2.496317869
280	2.487914554
281	2.484563242
282	2.477476278
283	2.469074498
284	2.459672406
285	2.454436621
286	2.451937487
287	2.444630535
288	2.44136079
289	2.435109124
290	2.431586753
291	2.429105329
292	2.424625643
293	2.421340565
294	2.415815911
295	2.406971048
296	2.399161648
297	2.395215032
298	2.392019575
299	2.385648344
300	2.379750135
301	2.376558866
302	2.373894476
303	2.371688078
304	2.369784024
305	2.365267179
306	2.358883655
307	2.351708514
308	2.34374062
309	2.336719055
310	2.332997148
311	2.328318562
312	2.325956825
313	2.321728518
314	2.315116234
315	2.311926543
316	2.304883121
317	2.302478842
318	2.298543683
319	2.291610471
320	2.286662379
321	2.282135443
322	2.28008533
323	2.274599785
324	2.269978745
325	2.268343037
326	2.265395373
327	2.262614684
328	2.261081622
329	2.2535974
330	2.246331073
331	2.241396671
332	2.235343766
333	2.231497579
334	2.224974204
335	2.221926153
336	2.216061621
337	2.213637537
338	2.209403168
339	2.207242087
340	2.203487328
341	2.201457124
342	2.196245014
343	2.19301046
344	2.190230737
345	2.188364094
346	2.18656497
347	2.179132513
348	2.176547958
349	2.17426947
350	2.168574671
351	2.161899357
352	2.160547762
353	2.156276817
354	2.152712967
355	2.149297063
356	2.147398123
357	2.142558492
358	2.137376785
359	2.13176267
360	2.125839651
361	2.124169667
362	2.122451797
363	2.120704926
364	2.113757401
365	2.108371686
366	2.102800822
367	2.097200138
368	2.092635461
369	2.088717725
370	2.086052072
371	2.083001513
372	2.077194734
373	2.075385042
374	2.072832401
375	2.071392316
376	2.069910111
377	2.068074133
378	2.064718614
379	2.059513283
380	2.055873759
381	2.049506534
382	2.044205573
383	2.038264353
384	2.035006744
385	2.033131719
386	2.027039875
387	2.023146783
388	2.018273513
389	2.014472696
390	2.012800456
391	2.010759665
392	2.006591726
393	2.002331595
394	1.998907295
395	1.995591602
396	1.994061556
397	1.988984577
398	1.987610924
399	1.983477497
400	1.980495616
401	1.977628237
402	1.972362231
403	1.968874777
404	1.967462035
405	1.964710164
406	1.963037886
407	1.96004041
408	1.95553805
409	1.953979859
410	1.950845693
411	1.946225602
412	1.944970404
413	1.940842348
414	1.939319542
415	1.935015731
416	1.934411565
417	1.932570713
418	1.928967054
419	1.927492066
420	1.923985568
421	1.921503498
422	1.919930121
423	1.917271075
424	1.912348447
425	1.910843221
426	1.907291003
427	1.905433139
428	1.903478999
